
Pre-schedule statistics


Total nodes: 121

Node class;Type;Length;Num
NodeAdd;{HWFloat:8, 24};0;11
NodeAnd;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWFloat:8, 24};0;12
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeConstantRawBits;{HWOffsetFix:19, 0, UNSIGNED};0;2
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;2
NodeCounter;{HWOffsetFix:19, 0, UNSIGNED};0;1
NodeCounter;{HWOffsetFix:48, 0, UNSIGNED};0;2
NodeDiv;{HWFloat:8, 24};0;2
NodeEqInlined;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeEvalStreamOffset;{HWOffsetFix:19, 0, UNSIGNED};0;1
NodeGtInlined;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeInput;{HWFloat:8, 24};0;5
NodeInputMappedReg;{HWFloat:8, 24};0;1
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeLtInlined;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeMul;{HWFloat:8, 24};0;27
NodeMux;{HWFloat:8, 24};0;1
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeStreamOffset;{HWFloat:8, 24};0;24
NodeStreamOffset;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeSub;{HWFloat:8, 24};0;7
NodeSub;{HWOffsetFix:19, 0, UNSIGNED};0;1

Final statistics


Total nodes: 153

Node class;Type;Length;Num
NodeAdd;{HWFloat:8, 24};0;11
NodeAnd;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWFloat:8, 24};0;12
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeConstantRawBits;{HWOffsetFix:19, 0, UNSIGNED};0;2
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;2
NodeCounter;{HWOffsetFix:19, 0, UNSIGNED};0;1
NodeCounter;{HWOffsetFix:48, 0, UNSIGNED};0;2
NodeDiv;{HWFloat:8, 24};0;2
NodeEqInlined;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeFIFO;{HWFloat:8, 24};1;4
NodeFIFO;{HWFloat:8, 24};105;1
NodeFIFO;{HWFloat:8, 24};156;1
NodeFIFO;{HWFloat:8, 24};19;2
NodeFIFO;{HWFloat:8, 24};2;2
NodeFIFO;{HWFloat:8, 24};21;2
NodeFIFO;{HWFloat:8, 24};300027;4
NodeFIFO;{HWFloat:8, 24};300051;1
NodeFIFO;{HWFloat:8, 24};4;2
NodeFIFO;{HWFloat:8, 24};54;1
NodeFIFO;{HWFloat:8, 24};600051;3
NodeFIFO;{HWFloat:8, 24};62;2
NodeFIFO;{HWFloat:8, 24};7;2
NodeFIFO;{HWFloat:8, 24};75;2
NodeFIFO;{HWFloat:8, 24};8;1
NodeFIFO;{HWFloat:8, 24};82;1
NodeFIFO;{HWOffsetFix:19, 0, UNSIGNED};1;1
NodeGtInlined;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeInput;{HWFloat:8, 24};0;5
NodeInputMappedReg;{HWFloat:8, 24};0;1
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeInputMappedReg;{HWOffsetFix:19, 0, UNSIGNED};0;1
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeLtInlined;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeMul;{HWFloat:8, 24};0;27
NodeMux;{HWFloat:8, 24};0;1
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeStreamOffset;{HWFloat:8, 24};0;24
NodeStreamOffset;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeSub;{HWFloat:8, 24};0;7
NodeSub;{HWOffsetFix:19, 0, UNSIGNED};0;1
