name,solution
C0000001,0
C0000002,1
C0000003,0
C0000004,0
C0000005,0
C0000006,0
C0000007,0
C0000008,0
C0000009,0
C0000010,90
C0000011,0
C0000012,0
C0000013,0
C0000014,90
C0000015,0
C0000016,0
C0000017,0
C0000018,0
C0000019,0
C0000020,0
C0000021,0
C0000022,0
C0000023,0
C0000024,0
C0000025,0
C0000026,0
C0000027,0
C0000028,0
C0000029,0
C0000030,0
C0000031,0
C0000032,0
C0000033,0
C0000034,0
C0000035,0
C0000036,0
C0000037,0
C0000038,0
C0000039,0
C0000040,103
C0000041,83
C0000042,0
C0000043,0
C0000044,0
C0000045,0
C0000046,0
C0000047,0
C0000048,0
C0000049,0
C0000050,0
C0000051,156
C0000052,0
C0000053,0
C0000054,0
C0000055,0
C0000056,0
C0000057,0
C0000058,0
C0000059,105
C0000060,0
C0000061,0
C0000062,24
C0000063,0
C0000064,0
C0000065,0
C0000066,0
C0000067,0
C0000068,0
C0000069,54
C0000070,0
C0000071,62
C0000072,0
C0000073,0
C0000074,0
C0000075,0
C0000076,0
C0000077,8
C0000078,0
C0000079,0
C0000080,0
C0000081,19
C0000082,0
C0000083,0
C0000084,0
C0000085,0
C0000086,0
C0000087,0
C0000088,0
C0000089,0
C0000090,19
C0000091,0
C0000092,0
C0000093,0
C0000094,0
C0000095,0
C0000096,0
C0000097,0
C0000098,0
C0000099,335
C0000100,335
C0000101,335
C0000102,336
C0000103,336
C0000104,337
C0000105,338
C0000106,9
C0000107,4
C0000108,9
C0000109,9
C0000110,60
C0000111,60
C0000112,168
C0000113,162
C0000114,167
C0000115,163
C0000116,177
C0000117,175
C0000118,177
C0000119,87
C0000120,165
C0000121,9
C0000122,4
C0000123,9
C0000124,9
C0000125,60
C0000126,60
C0000127,168
C0000128,162
C0000129,167
C0000130,163
C0000131,177
C0000132,175
C0000133,177
C0000134,87
C0000135,173
C0000136,165
C0000137,184
C0000138,192
C0000139,165
C0000140,173
C0000141,165
C0000142,184
C0000143,203
C0000144,176
C0000145,184
C0000146,176
C0000147,195
C0000148,214
C0000149,198
C0000150,280
C0000151,260
C0000152,206
C0000153,206
C0000154,225
C0000155,114
C0000156,114
C0000157,114
C0000158,114
C0000159,114
C0000160,122
C0000161,173
C0000162,9
C0000163,184
C0000164,192
C0000165,114
C0000166,122
C0000167,9
C0000168,133
C0000169,141
C0000170,203
C0000171,114
C0000172,122
C0000173,60
C0000174,133
C0000175,214
C0000176,236
C0000177,244
C0000178,239
C0000179,252
C0000180,288
C0000181,261
C0000182,256
C0000183,280
C0000184,280
C0000185,269
C0000186,299
C0000187,291
C0000188,286
C0000189,310
C0000190,339
C0000191,3
C0000192,3
C0000193,4
C0000194,0
C0000195,0
C0000196,1
