name,solution
C0000001,0
C0000002,0
C0000003,0
C0000004,0
C0000005,0
C0000006,0
C0000007,0
C0000008,4
C0000009,0
C0000010,4
C0000011,0
C0000012,0
C0000013,0
C0000014,0
C0000015,0
C0000016,0
C0000017,0
C0000018,0
C0000019,0
C0000020,0
C0000021,0
C0000022,0
C0000023,0
C0000024,0
C0000025,0
C0000026,0
C0000027,0
C0000028,0
C0000029,0
C0000030,0
C0000031,0
C0000032,0
C0000033,0
C0000034,0
C0000035,0
C0000036,0
C0000037,0
C0000038,0
C0000039,0
C0000040,0
C0000041,2
C0000042,0
C0000043,0
C0000044,0
C0000045,0
C0000046,0
C0000047,0
C0000048,0
C0000049,0
C0000050,0
C0000051,0
C0000052,0
C0000053,0
C0000054,1
C0000055,0
C0000056,0
C0000057,0
C0000058,0
C0000059,0
C0000060,0
C0000061,0
C0000062,0
C0000063,0
C0000064,0
C0000065,0
C0000066,0
C0000067,0
C0000068,0
C0000069,0
C0000070,0
C0000071,0
C0000072,0
C0000073,0
C0000074,0
C0000075,0
C0000076,0
C0000077,0
C0000078,0
C0000079,0
C0000080,0
C0000081,0
C0000082,0
C0000083,0
C0000084,0
C0000085,0
C0000086,0
C0000087,0
C0000088,0
C0000089,0
C0000090,0
C0000091,6
C0000092,6
C0000093,6
C0000094,6
C0000095,6
C0000096,6
C0000097,6
C0000098,3
C0000099,0
C0000100,4
C0000101,0
C0000102,4
C0000103,0
C0000104,4
C0000105,2
C0000106,3
C0000107,3
C0000108,3
C0000109,3
C0000110,3
C0000111,3
C0000112,6
C0000113,3
C0000114,0
C0000115,0
C0000116,4
C0000117,0
C0000118,4
C0000119,2
C0000120,3
C0000121,3
C0000122,3
C0000123,3
C0000124,3
C0000125,3
C0000126,6
C0000127,6
C0000128,6
C0000129,6
C0000130,6
C0000131,6
C0000132,6
C0000133,6
C0000134,6
C0000135,6
C0000136,6
C0000137,6
C0000138,6
C0000139,6
C0000140,6
C0000141,6
C0000142,6
C0000143,6
C0000144,6
C0000145,6
C0000146,6
C0000147,6
C0000148,6
C0000149,6
C0000150,5
C0000151,5
C0000152,5
C0000153,5
C0000154,6
C0000155,6
C0000156,6
C0000157,6
C0000158,6
C0000159,6
C0000160,6
C0000161,6
C0000162,6
C0000163,6
C0000164,6
C0000165,6
C0000166,6
C0000167,6
C0000168,6
C0000169,6
C0000170,6
C0000171,6
C0000172,6
C0000173,6
C0000174,6
C0000175,0
C0000176,0
C0000177,0
C0000178,0
C0000179,0
C0000180,0
